ID,features,,,,,,,,,,,,
01821425-422a-4b34-8503-b6d2a8f5eedc,450,918,565,419,280,141,444,340,888,736,,,
03343525-6a5d-4886-92c6-5efdfc4442a8,294,659,608,680,281,836,891,167,910,708,150,,
03cda990-5dab-4095-a867-3e4e042694ad,909,522,269,560,887,255,814,480,844,,,,
0443b979-5ac4-4b8c-b06a-471bf2317637,844,551,299,110,762,109,749,815,353,746,113,,
04c3949f-7c7f-4339-98e5-c99ab57e6003,371,454,719,347,548,983,104,139,404,182,,,
05137e0b-e317-4016-acfb-b9c18fc3231e,751,360,645,389,302,982,568,171,532,931,399,,
05e984c4-a094-454c-b108-cd24111c7158,120,105,159,337,151,101,992,601,812,412,385,630,759
060c4df7-2691-4abd-a5be-0092bdc5c030,397,652,645,591,163,208,997,793,116,374,574,230,
0a347111-716f-46f2-b5b5-44c19967cb20,299,,,,,,,,,,,,
0b6519ba-912f-4c06-9b69-6a4dd4e7e65c,247,946,145,581,661,331,515,845,422,841,283,,
0cfd5490-1595-46f9-b29e-271e5cbb62ff,342,314,126,369,764,514,111,727,543,601,,,
0d34d6e4-0617-4633-98a2-6cd819851ade,999,616,713,168,589,729,883,257,203,,,,
0dec939d-8402-4c7c-8c6b-8b12b97bd34f,312,169,531,484,751,906,506,370,765,296,326,,
0df6204e-e4e8-4321-a857-1ce948434138,326,583,208,498,286,506,568,603,451,449,286,,
0eb3c29f-2e73-4a87-84b7-a897df43298c,244,506,538,331,518,487,233,235,200,169,,,
0eca3b8b-7c79-42c0-b3e4-2287caa2f383,846,796,529,165,802,351,703,108,281,389,,,
101d4089-d44e-4a08-8410-9af2a599b6f5,574,611,663,322,579,622,200,501,789,567,175,,
149a7ea7-473b-48f3-b103-c20c32d79c54,723,521,188,413,271,512,271,333,323,215,302,,
1762509c-fe17-4576-adfc-de166da93786,227,791,607,213,427,748,916,512,299,908,104,,
1dd9e6a2-1c65-4efc-aaec-d416f3da498a,491,172,67,515,384,913,789,512,943,217,,,
1e0d8b33-4c97-4cbb-8e65-cb232cd1e452,228,882,599,319,250,729,554,785,722,499,990,174,
1f8660f4-4bfd-4d2f-bd56-79c930c3124c,722,998,253,446,218,390,662,833,105,379,708,163,
20d4c243-6a68-4e23-a05e-1d497dd6ec20,948,767,824,853,702,359,374,526,127,920,487,,
20efbcc8-e27f-493d-a11d-f94a6a0db5a3,894,782,607,984,475,961,234,357,331,,,,
228ef3bc-65f4-42a5-84b1-2d03afaf0fa0,323,405,297,142,591,733,132,854,497,560,415,132,
22c08bdb-9aaf-4d05-aea6-904595a617e3,706,675,685,437,186,240,179,282,516,756,151,579,
22eaa195-c24f-43b3-84f9-d3df85b12c94,805,533,595,464,383,128,738,590,278,672,493,,
267a27b4-368c-49eb-84ac-ecde78371afd,494,884,287,623,915,223,466,372,996,439,703,,
26db8d81-05b9-4f67-8093-6659ae57a7b9,170,929,564,706,174,652,625,440,134,336,124,,
2a3c1427-c4bd-41ff-82e0-8821e38a8b29,117,236,191,235,297,729,227,500,517,798,386,144,
2a41bed1-af70-426e-ae07-7a32ec1f28cb,972,558,669,46,460,456,497,234,823,741,291,,
2dd2b427-0060-40b3-b569-f363bf4361bb,828,967,369,833,459,938,760,864,945,140,,,
3000d420-4a9a-4b65-89ee-f069a995a6b5,673,326,247,188,997,527,588,344,,,,,
30cc5b25-dbb0-433c-a0d0-bbfc0d08639a,528,636,523,942,524,168,921,171,307,335,,,
31db39a7-c295-4c2c-addc-7e1b855be587,332,162,657,196,669,336,893,599,450,888,51,343,
3359e88e-5349-44cd-ae78-5c1a2ea4cd84,177,359,794,118,322,622,548,433,664,516,452,,
33c5546b-288c-49b3-9b37-308421f5aba2,242,430,310,632,204,863,924,746,820,846,536,330,
33ec9dee-6647-47e3-8b3f-331c7906b663,457,893,351,433,937,891,562,798,875,,,,
33f0ad90-1b73-4fdc-bedf-7076050e8354,784,647,213,611,124,572,418,904,173,369,714,,
33f5327c-4f41-479a-9c51-d7a87c37d970,375,533,708,599,780,923,171,168,546,317,,,
355fe174-577d-4f8b-a494-7eaff0d67a60,555,936,290,294,763,791,150,115,379,225,,,
39404f4b-6eb4-4d03-9ac6-b3ff7d59845c,626,371,155,551,314,342,354,266,481,139,955,,
398a348d-b1c8-4076-8175-6b7359d8ab88,699,787,,,,,,,,,,,
39a20d88-50ec-4dbe-8981-0e8102e9b0a3,773,552,471,571,336,157,443,783,529,821,,,
3af5708a-a43f-4787-a5b9-c4aa7001ba8f,585,112,515,207,137,492,790,983,167,684,381,,
3fb1e798-ccf0-436e-8195-0d268abc506c,403,134,521,184,385,139,788,492,549,947,213,,
42d82cbd-d1da-48e1-bc5e-b21c44ab40b9,879,503,443,136,420,373,691,552,482,427,243,,
44716e60-8054-43f0-8438-753a98f193f2,336,398,509,126,277,649,995,634,619,401,,,
451d3587-edf8-4f5a-b0d4-978f094ffa5e,235,605,596,349,269,457,469,357,509,852,362,,
499521e9-b4c3-4b57-99be-0ba27cbe4566,897,489,251,791,794,797,269,919,310,,,,
4b078b30-7c8d-4229-aa3f-8601e27add45,866,417,565,580,202,249,774,163,832,103,,,
4df76fce-f69b-4c01-93b7-8afb744e7258,55,853,285,225,727,548,766,571,111,522,,,
4fe35e34-f9a0-4819-9154-c091ddb8f696,503,993,419,111,717,903,594,558,262,521,,,
50059968-799d-4c84-8e99-f18fd3480ddf,399,661,995,872,618,633,463,607,143,502,,,
51a97671-52b8-45a4-bc10-60c7ae69544c,596,386,913,136,754,386,687,678,,,,,
53f2862c-c003-40e6-a69d-2f2c1c642264,216,822,599,605,444,205,198,299,621,554,68,,
550ca230-5977-4e82-acde-8c8c17961d27,602,839,860,236,302,913,143,756,158,296,,,
55e9b9f1-2e05-4dcd-9683-062a51d5f0cd,761,860,613,286,705,597,340,991,933,590,,,
5923f3c3-9db4-49de-a8cb-f9c03af1214e,180,382,272,219,608,190,913,496,639,380,217,,
60cdd9c8-5bee-4f4b-b096-39c49be59766,679,814,173,385,570,750,977,296,629,438,734,268,
61b20627-fafe-4e30-9555-a0c98b1136a3,662,342,103,667,488,342,891,290,707,310,,,
64d4595d-08ef-4859-b95b-1b54642d324c,936,248,805,490,969,939,215,156,141,848,295,,
64f50210-c07a-4da5-996f-7c5a114e4223,296,593,191,417,170,830,336,724,569,924,409,,
65924180-13a9-462a-8e47-ce33c63116c5,505,764,852,547,67,551,498,937,124,121,165,,
68c4233c-b2e1-40ac-9349-26b3b9cb41e3,293,751,626,855,732,154,301,419,141,408,,,
