id2,lat,long
00868b8b-a285-4972-8a52-869b9a3a19b5,41.3852331703,-73.3736175093
008f1e7f-5e7a-4a43-8014-bf8330298998,40.1918153549,-73.8306338378
00cb21ec-68a1-492d-9352-96604ef0e446,39.795892685,-73.1048855678
00efe613-3e10-455f-8e10-21d9c7499e31,41.1054038353,-74.1023808675
0132ef82-c75d-4e69-a95b-e76d042bc6a5,40.7235445832,-73.5738138034
01466bba-26d6-4d33-96d0-485762ec72ea,40.530910707,-73.496107952
01cbf737-ae72-4831-978e-21535e5f426a,41.3897252113,-73.9764923825
01d3e2ee-0297-4727-96c6-4b79efd9ae73,41.58693848,-74.0682340596
01de30c0-44d5-40ab-8242-9110b19497ad,40.9862319777,-73.2019496044
01f0ef8f-1420-41be-9073-38fcfaaf7956,40.9001166364,-74.1480791665
02407810-1371-454b-a6fb-75f9c4bd4617,41.1391443077,-73.7177409054
02b69112-af84-40a1-a13c-80f1b5721038,41.6128469917,-74.3089282557
0380ad9b-f704-4b74-8118-cdc33e51d4ff,41.2566352233,-74.494741037
038d6b4f-634f-4dff-9e1a-4a46398b087b,41.410231322,-73.9789844412
03b2ecf8-668b-492b-a5e4-21193ebc56ba,40.1594488359,-74.3075431399
03d3df2c-38d4-40bb-ae71-9ccad52b144c,40.6426473542,-74.3293075111
04347b32-31bb-4557-b246-abe06e0245cc,41.3134347965,-73.4951742093
0435923d-6a74-417f-a954-9b9caf78bb9f,41.2719374754,-74.4852703637
045afec6-b0f5-4818-8b6e-f7a01400ed58,40.7925692352,-73.2985197321
04e2776e-68b0-445e-8034-031814182687,40.7435073569,-73.8177772179
04f5bfea-f504-4760-960e-ca1c7ea8be71,41.0791528292,-73.9510693696
0578cb6b-0e60-433f-b055-5866a41c9c0c,40.8325632894,-74.5410619822
0598171a-6e97-41ea-bdac-2d8032e18707,39.8074113214,-74.9934361855
071a56e2-de37-47ab-9486-5ad3f8713853,40.5831982719,-73.841713069
0728e3ab-3107-40bd-9f2a-8bdfbedb85c7,40.9066392291,-74.4597916744
072b2ec5-17a7-4513-a1f0-fb88cb068811,41.427412237,-74.6915754401
0730a9f3-6aec-46b2-90d7-7a54b56e1311,41.3737609473,-74.920673744
0737e86d-3037-4f1b-a59d-37e2635abf7a,40.1119217855,-73.5187547093
0784dfb0-99b3-4bc0-866e-2a46736bffef,40.0043384566,-74.1441181524
079e9a50-11fe-4caf-873a-ba9b90097c65,40.8311978693,-73.4465685356
07d29d9e-5366-492d-802e-1dec9b300766,39.9560564274,-73.1647117536
081940ff-a0a7-4a3a-a414-14bc3ae4a6e3,39.9445154217,-73.9706253598
086a527f-5200-49f2-aebc-9666143762e5,40.3203508553,-74.4220825358
08722883-a75e-480d-b3fe-d3f4462e9f0b,41.5702699634,-74.8185310592
08b42708-c245-4c53-a30f-8a5be8d47c97,40.9941877273,-73.7718056232
08f642ea-0f28-47eb-97ad-17a979d8f1b5,41.6774849635,-73.8494788619
08fd5142-ede6-4e00-bd5f-2d79bd476a8e,41.0561888215,-74.4464142596
09f3a914-6394-4ab6-945d-fdcd7480506a,40.1252530781,-73.4841087267
0a6123ea-c72c-4f3f-b6e2-1059fa1a5ffe,41.7041910212,-73.6326345988
0b2c68f2-2a8c-4fd3-be62-7463d730f8ac,41.4369945992,-73.7216341963
0b4d6749-4992-40e7-925a-6ed35cfad200,40.5036798585,-74.674162426
0b4d8c00-4106-460f-a166-ce7d3038e460,41.5476682751,-74.372563839
0c3937e9-6859-4512-8d3c-a3b53e5e4422,40.5831756145,-73.8043142645
0c5b7797-51e7-4733-936c-7d9b513cc40a,41.0778238208,-74.8629951721
0c6f119b-c099-479f-826a-967fc08f8ed6,40.1050728274,-74.7245603294
0ce85e28-354a-4f37-a676-5d0648256821,41.6956011202,-74.0218586743
0cf50699-4921-4209-bd3e-dd79619bcf07,41.1071739169,-73.5659143058
0d2c4115-682f-4971-ab28-8a055f83b87a,40.5783060094,-74.4075612317
0dcb8e98-6b84-4ffc-9bed-fa6ed5ca472f,41.4490961109,-73.6455977033
0ddfc29b-f7af-42e8-ab32-5c8cc92c6ef0,39.7329429975,-73.418507706
0e1bb406-7bf4-44c8-acf8-793a93472b69,40.3191894502,-74.424441223
0e38616b-50ca-4e83-9e21-6a929726e964,40.7453078375,-73.3972945854
0e9a2345-891a-435d-b9e2-680706a18043,39.994784036,-73.9626965176
0ea88b25-2ce6-4336-bd17-81b2ec477970,40.4719609077,-74.1992157112
0f0a3399-4969-4f99-ab58-4bee05934f24,41.3729816885,-74.8057532969
0f432e22-f2f3-4f62-8cb1-14c0ae248971,40.9000629938,-74.0514417846
0fe48ea9-b93a-4428-8683-32dd16b966c2,39.9579648935,-73.3265215852
10458c6e-92ef-4fba-9020-718ba182ccbd,40.5951827259,-74.15142429
10ce8d2e-e6c6-4847-a782-cd522202daee,39.874372211,-74.6797720795
10f1004f-66bf-4c6a-b275-2612e6ccd012,41.1290537487,-73.5039719567
110f0656-1055-4f6b-9405-765fbae8630c,40.0150072368,-73.5541029804
111bd532-0196-4749-a4eb-600459596557,40.2561015984,-73.9895820895
111c8ba7-36c2-4f55-bb93-4f5ed67d6567,39.7154804345,-73.1723512107
11649c80-c43a-4e42-87a7-1f5015eca8ca,41.3598605351,-74.7345379394
11d11d99-4240-4ea5-ada4-a2d9c9e7b2ab,40.5718115163,-73.9142767032
120015cf-77fd-44e1-b32e-1e90180cbe50,40.4600540202,-73.3410105621
1208217d-8ba4-4079-b19e-8bb8a5765092,41.6171867704,-73.5134812845
